date,operator,bottype,No.,angle,stars,bots,folder,path,BotLocatingFile,BatteryLocatingFile,start_min,end_min,starting point
20240617,Eden,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:06,0:09,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:10,0:14,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:16,0:19,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:20,0:25,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:27,0:32,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:33,0:37,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:38,0:45,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:46,0:57,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,1:00,1:11,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,1:13,1:23,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,1:24,1:34,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,1:35,1:45,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,1:46,1:58,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,2:06,2:19,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,2:20,2:32,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,2:59,3:01,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:03,3:06,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:09,3:15,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:17,3:20,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:22,3:27,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:31,3:36,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:39,3:44,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:45,3:55,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:57,4:07,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,4:08,4:22,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,4:25,4:34,down
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,4:37,4:46,down
20240617,Eden,fronter,5,9.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,0:03,0:14,
,,,,9.4,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,0:17,0:31,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,0:34,0:46,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,0:49,1:05,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,1:08,1:17,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,1:20,1:30,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,1:33,1:46,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,1:48,2:00,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,2:03,2:12,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,2:15,2:23,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,2:27,2:37,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,2:51,2:59,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,3:02,3:09,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,3:12,3:17,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,3:19,3:37,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,3:39,3:52,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,3:53,4:02,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,4:03,4:13,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,4:15,4:26,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,4:27,4:38,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,4:52,5:00,
,,,,,,,,,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_bot_Eden.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240620_battery_Eden.csv,5:02,5:13,
20240617,Eden,fronter,5,2.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0876.MP4,,,,,
20240617,Eden,fronter,5,7.25,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0878.MP4,,,,,
,,,,,,,D:\Eden\kappa_measurements_home_made_bots,,,,,,
,,,,,,,D:\Eden\kappa_measurements_home_made_bots,,,,,,
,,,,,,,D:\Eden\kappa_measurements_home_made_bots,,,,,,