,FileName,n_max,n_max_err,A_max,A_max_err,n_min,n_min_err,A_min,A_min_err,Bot_Type,diameter
0,aligner_N021_D007_C0548.MP4_link.csv,1.0615509299137857,0.0016078508215468747,0.3895583125690234,0.006071459780645678,0.9953069135791054,0.0005582979582256067,0.5025583056570073,0.001866318549340184,aligner,7
0,aligner_N021_D007_C0547.MP4_link.csv,1.0887761695547669,0.0020955616541167973,0.22567001117685634,0.007913120939957986,1.0833761104801412,0.001133261912203166,0.2452809210142368,0.003788349389891543,aligner,7
0,aligner_N021_D007_C0544.MP4_link.csv,1.193398521020617,0.0013181889110886872,0.10938477885095255,0.004977657571229897,1.0773581257573317,0.0009147373934087864,0.1631413584045128,0.003057849933725132,aligner,7
0,aligner_N021_D007_C0542.MP4_link.csv,1.2567706184412382,0.0015227965008784057,0.2801393725111709,0.005750283254227362,1.1854811444521474,0.0011320413731309876,0.3680208812256952,0.003784269273098543,aligner,7
0,fronter_N021_D007_C0541.MP4_link.csv,1.206191329118105,0.0018466080849754848,0.31081989989682446,0.006973038999973149,1.1312942560480965,0.001884277031601447,0.42192198991690116,0.00629889685815495,fronter,7
0,fronter_N021_D007_C0540.MP4_link.csv,1.0418197104357192,0.003050379076529194,0.49938775763769516,0.011518639207369783,0.8908003184345163,0.0035806354800177035,0.9062706583221624,0.011969606572939029,fronter,7
0,fronter_N021_D007_C0539.MP4_link.csv,1.3093554077807652,0.001747962990668742,0.37064568550517446,0.006533910357668564,1.1907641574742047,0.0019018955333821796,0.5638877355720515,0.0063577932548727215,fronter,7
0,fronter_N021_D007_C0538.MP4_link.csv,1.0343111517666712,0.002769271024430923,0.240812255202599,0.01045713745722181,1.0287373650785212,0.0019285130985007184,0.27169048806088786,0.006446772237399023,fronter,7
0,fronter_N021_D012_C0537.MP4_link.csv,1.1184496271724313,0.005981072913910392,0.4210192297999354,0.02258533139939664,1.2058303178099343,0.005078496683585372,0.3984082275985969,0.016976763942739184,fronter,12
0,fronter_N021_D012_C0536.MP4_link.csv,1.27244562499571,0.005404680337972041,0.5623450244072384,0.0204087954902524,1.361156486501542,0.00469884172585815,0.5108576435132633,0.015707626348983983,fronter,12
0,fronter_N021_D012_C0535.MP4_link.csv,1.3116900155380269,0.0029617492076818657,0.2841116424165607,0.011183960798038657,1.2570945670337788,0.002859568454878402,0.37899329548552135,0.009559170955414057,fronter,12
0,fronter_N021_D012_C0534.MP4_link.csv,1.739468793071572,0.001830875139231448,0.2693434783982913,0.0061319268310050965,1.6658738556957213,0.0015421754625385604,0.35572974963204385,0.0051552950213237265,fronter,12
0,fronter_N021_D012_C0533.MP4_link.csv,0.9443257033228254,0.007852755568761876,1.3181833889832384,0.02965305358009635,1.1051576618517502,0.005088044914412119,1.0257303849752402,0.017008682381401415,fronter,12
0,aligner_N021_D012_C0532.MP4_link.csv,1.16473156021261,0.0017292353098944913,0.08179353173022008,0.00652982373635177,1.1976995576076992,0.0007108344099803803,0.07693998253182847,0.002376228396809452,aligner,12
0,aligner_N021_D012_C0531.MP4_link.csv,1.1287529309179547,0.006299129431231003,0.19340072125386512,0.023786354901288095,1.271508408239052,0.004810777287591601,0.15244016817514927,0.016081812356483243,aligner,12
0,aligner_N021_D012_C0530.MP4_link.csv,0.7110435323476012,0.010456642073942328,2.5049842024910633,0.03948567829978911,0.7509423907156149,0.009215829958063394,3.248602537011125,0.030807339108764906,aligner,12
0,aligner_N021_D012_C0529.MP4_link.csv,1.240393830450655,0.0022802076835452666,0.2762180391476187,0.008610369060560502,1.1805075725930552,0.00124039551202859,0.364010357380723,0.00414648328789373,aligner,12
0,aligner_N021_D018_C0527.MP4_link.csv,1.28879946328052,0.0009072757545568292,0.10860498051357247,0.003425994581531562,1.2581402843877139,0.0010815811240631247,0.1238810069739093,0.003615587136832907,aligner,18
0,aligner_N021_D018_C0526.MP4_link.csv,1.309272867979124,0.0016066189646530386,0.033141780097903965,0.006066808044196961,1.291106902338698,0.0021492648641623997,0.037264952639547225,0.0071847171862937185,aligner,18
0,aligner_N021_D018_C0525.MP4_link.csv,1.20097040972154,0.001146416881807659,0.023880152022576838,0.00432902343227754,1.1160674695752775,0.0021202755017344804,0.032440502702093255,0.007087809403644032,aligner,18
0,aligner_N021_D018_C0523.MP4_link.csv,1.0993040964885181,0.002919259369811468,0.04888690728828514,0.011023513661227313,1.0520112820893122,0.002836254376499403,0.0638897724715573,0.009481235071724076,aligner,18
0,fronter_N021_D018_C0521.MP4_link.csv,1.6976677900032702,0.0011249005663948508,0.10920783545437186,0.0038152967087234377,1.6521386183878741,0.0003479630441512674,0.12959832397363968,0.0011631958796202843,fronter,18
0,fronter_N021_D018_C0519.MP4_link.csv,1.553209852533016,0.003059228486969489,0.2280706026914805,0.011552055665361083,1.6229422650559007,0.0019225387972106052,0.20147042679583801,0.006426800929925456,fronter,18
0,fronter_N021_D018_C0514.MP4_link.csv,1.3485564956426752,0.0027548274322788994,0.09501426249477445,0.010402596671343524,1.350923711118825,0.001378526784056023,0.10445059466881539,0.004608238478019344,fronter,18
0,fronter_N021_D018_C0516.MP4_link.csv,1.4332820537277473,0.0037931525067403647,0.08828051747382719,0.01432345092617205,1.5335074189006406,0.0021385620517159047,0.07228074730201284,0.0071489390214797876,fronter,18
0,fronter_N021_D018_C0517.MP4_link.csv,1.3697017516412935,0.004399303281234197,0.1408087368236392,0.016612357527212743,1.4481478005885804,0.0031132329915166753,0.12758207015298229,0.010407139178292342,fronter,18
0,fronter_N021_D028_C0490.MP4_link.csv,1.4847157528930228,0.0015523342783129047,0.08467277014631576,0.0058618218282039695,1.5662658825068767,0.000683526648350828,0.06648658552372849,0.002284942024365845,fronter,28
0,fronter_N021_D028_C0491.MP4_link.csv,1.53826803304774,0.0023240510945800067,0.04891652374991416,0.00877592766418847,1.6595981203365862,0.0009033769688319364,0.03512870274368877,0.003019873512394929,fronter,28
0,fronter_N021_D028_C0492.MP4_link.csv,1.1401951494846911,0.003093613648507916,0.1189731382067625,0.01168189866473256,1.1870211819170864,0.001353785079318779,0.09167143496150423,0.004525530106496108,fronter,28
0,fronter_N021_D028_C0493.MP4_link.csv,1.6604276048122735,0.0014157157636574564,0.024483953501146804,0.005345932000956003,1.6946459718436464,0.0009679964484576207,0.023049688268872548,0.0032358881325044277,fronter,28
0,aligner_N021_D028_C0494.MP4_link.csv,1.0345181383384778,0.0013650036833174545,0.0823410450110328,0.00515443641565932,1.129236550614666,0.0004947383171893646,0.059706643979771934,0.0016538468128755662,aligner,28
0,aligner_N021_D028_C0495.MP4_link.csv,1.4179277782582502,0.0011197757747799491,0.027213884093553273,0.00422842302993175,1.3552547855933847,0.0008747428634586558,0.034377683187851255,0.0029241533362149535,aligner,28
0,aligner_N021_D028_C0497.MP4_link.csv,1.299141710937814,0.002729305004623428,0.03180327136009929,0.01030622054224616,1.2637502747464395,0.0026742720303938156,0.03969668994206296,0.008939748771283493,aligner,28
0,aligner_N021_D028_C0498.MP4_link.csv,1.6350366277864075,0.001529110472690185,0.03470783329094586,0.005774125623046373,1.6472936264362208,0.001028784864302745,0.03527789041502693,0.00343909602729221,aligner,28
0,aligner_N021_D032_C0552.MP4_link.csv,1.4092513824413846,0.0028540119551261536,0.07434758315412929,0.01077713066539746,1.5705307335483105,0.001022906014745594,0.04074669113562349,0.0034194437589568512,aligner,32
0,aligner_N021_D032_C0551.MP4_link.csv,1.5391719254171052,0.0010669542539482554,0.0181264702913223,0.004028961927426838,1.5713188222673768,0.00031210881163273353,0.01585877213537029,0.0010433397792679973,aligner,32
0,aligner_N021_D032_C0550.MP4_link.csv,0.9282848662592083,0.0024638877300184403,0.22629633698666182,0.009303969548235924,1.0141187867967139,0.0014673074390109673,0.15757862140097398,0.004905020850573156,aligner,32
0,aligner_N021_D032_C0549.MP4_link.csv,0.6188480303791488,0.003329951174267529,0.46540993298942246,0.012574340944131821,0.6226600611880042,0.0029716069280575847,0.40589664376282214,0.009933701403897608,aligner,32
0,fronter_N021_D032_C0500.MP4_link.csv,1.7335926076270698,0.0020140237962042043,0.05588845354688448,0.007605223160245158,1.8076657654274195,0.0010187255826246279,0.04663584286000629,0.0034054691285326385,fronter,32
0,fronter_N021_D032_C0501.MP4_link.csv,1.6301645580308652,0.0007030347735451788,0.0595942983498226,0.002654753310332324,1.6752161584802292,0.0002080447917513468,0.051463418920297245,0.0006954670856923211,fronter,32
0,fronter_N021_D032_C0502.MP4_link.csv,1.4232029726523376,0.0047897855705067455,0.08228498012793042,0.018086870697140815,1.5637845771593075,0.003152799166545048,0.06138036128667544,0.010539403764951815,fronter,32
0,fronter_N021_D032_C0503.MP4_link.csv,1.2711788805824193,0.007290932600550573,0.09827158442157191,0.027531536279792747,1.5229063961245288,0.0035549341400257675,0.054161836915513656,0.01188368948374526,fronter,32
